,0.00 ,1.00 ,2.00 ,3.00 
MLSS_2#A,8700.00 ,7644.00 ,8206.02 ,8261.06 
MLSS_2#B,8696.00 ,7071.00 ,7823.57 ,7836.50 
MLSS_3#,7348.00 ,6003.00 ,6525.47 ,6444.41 
内回流量_2#A,424669.77 ,380747.12 ,395337.87 ,393411.18 
外回流量_2#A,157285.10 ,141017.45 ,146421.43 ,145707.84 
DO_2#A,4.13 ,3.03 ,3.73 ,3.79 
DO_2#B,4.33 ,3.70 ,3.99 ,3.97 
DO_3#,4.13 ,3.77 ,3.95 ,3.95 
进水流量,449386.00 ,402907.00 ,418347.02 ,416308.00 
进水COD,933.00 ,381.00 ,590.25 ,566.00 
进水SS,800.00 ,183.00 ,414.91 ,373.00 
进水TP,13.91 ,4.97 ,8.61 ,8.19 
进水TN,68.70 ,33.20 ,54.05 ,55.10 
进水NH3,40.80 ,21.20 ,29.76 ,29.40 
进水温度,21.00 ,18.00 ,19.31 ,19.00 
出水流量,445117.00 ,398504.00 ,413712.37 ,411519.00 
出水COD,33.00 ,13.00 ,21.19 ,21.00 
出水TP,0.06 ,0.04 ,0.05 ,0.05 
出水TN,8.56 ,5.57 ,6.88 ,6.86 
出水NH3,0.14 ,0.07 ,0.11 ,0.12 
